Name,Number,Position,Age,Height,Weight,Salary
James Johnson,3.0,PF,29.0,6-9,250.0,2500000.0
Cory Joseph,6.0,PG,24.0,6-3,190.0,7000000.0
Kyle Lowry,7.0,PG,30.0,6-0,205.0,12000000.0
Lucas Nogueira,92.0,C,23.0,7-0,220.0,1842000.0
Patrick Patterson,54.0,PF,27.0,6-9,235.0,6268675.0
Norman Powell,24.0,SG,23.0,6-4,215.0,650000.0
Terrence Ross,31.0,SF,25.0,6-7,195.0,3553917.0
Luis Scola,4.0,PF,36.0,6-9,240.0,2900000.0
Jason Thompson,1.0,PF,29.0,6-11,250.0,245177.0
Jonas Valanciunas,17.0,C,24.0,7-0,255.0,4660482.0
Delon Wright,55.0,PG,24.0,6-5,190.0,1509360.0
Leandro Barbosa,19.0,SG,33.0,6-3,194.0,2500000.0
Harrison Barnes,40.0,SF,24.0,6-8,225.0,3873398.0
Andrew Bogut,12.0,C,31.0,7-0,260.0,13800000.0
Ian Clark,21.0,SG,25.0,6-3,175.0,947276.0
Stephen Curry,30.0,PG,28.0,6-3,190.0,11370786.0
Festus Ezeli,31.0,C,26.0,6-11,265.0,2008748.0
Draymond Green,23.0,PF,26.0,6-7,230.0,14260870.0
Andre Iguodala,9.0,SF,32.0,6-6,215.0,11710456.0
Shaun Livingston,34.0,PG,30.0,6-7,192.0,5543725.0
Kevon Looney,36.0,SF,20.0,6-9,220.0,1131960.0
James Michael McAdoo,20.0,SF,23.0,6-9,240.0,845059.0
Brandon Rush,4.0,SF,30.0,6-6,220.0,1270964.0
Marreese Speights,5.0,C,28.0,6-10,255.0,3815000.0
Klay Thompson,11.0,SG,26.0,6-7,215.0,15501000.0
Anderson Varejao,18.0,PF,33.0,6-11,273.0,289755.0
Cole Aldrich,45.0,C,27.0,6-11,250.0,1100602.0
Jeff Ayres,19.0,PF,29.0,6-9,250.0,111444.0
Jamal Crawford,11.0,SG,36.0,6-5,195.0,5675000.0
Branden Dawson,22.0,SF,23.0,6-6,225.0,525093.0
Jeff Green,8.0,SF,29.0,6-9,235.0,9650000.0
Blake Griffin,32.0,PF,27.0,6-10,251.0,18907726.0
Wesley Johnson,33.0,SF,28.0,6-7,215.0,1100602.0
