Name,Number,Position,Age,Height,Weight,Salary
Josh Huestis,34.0,SF,24.0,6-7,230.0,1140240.0
Serge Ibaka,9.0,PF,26.0,6-10,245.0,12250000.0
Enes Kanter,11.0,C,24.0,6-11,245.0,16407500.0
Mitch McGary,33.0,PF,24.0,6-10,255.0,1463040.0
Nazr Mohammed,13.0,C,38.0,6-10,250.0,222888.0
Anthony Morrow,2.0,SG,30.0,6-5,210.0,3344000.0
Cameron Payne,22.0,PG,21.0,6-3,185.0,2021520.0
Andre Roberson,21.0,SG,24.0,6-7,210.0,1210800.0
Kyle Singler,5.0,SF,28.0,6-8,228.0,4500000.0
Dion Waiters,3.0,SG,24.0,6-4,220.0,5138430.0
Russell Westbrook,0.0,PG,27.0,6-3,200.0,16744218.0
Cliff Alexander,34.0,PF,20.0,6-8,240.0,525093.0
Al-Farouq Aminu,8.0,SF,25.0,6-9,215.0,8042895.0
Pat Connaughton,5.0,SG,23.0,6-5,206.0,625093.0
Allen Crabbe,23.0,SG,24.0,6-6,210.0,947276.0
Ed Davis,17.0,C,27.0,6-10,240.0,6980802.0
Maurice Harkless,4.0,SF,23.0,6-9,215.0,2894059.0
Gerald Henderson,9.0,SG,28.0,6-5,215.0,6000000.0
Chris Kaman,35.0,C,34.0,7-0,265.0,5016000.0
Meyers Leonard,11.0,PF,24.0,7-1,245.0,3075880.0
Damian Lillard,0.0,PG,25.0,6-3,195.0,4236287.0
C.J. McCollum,3.0,SG,24.0,6-4,200.0,2525160.0
Luis Montero,44.0,SG,23.0,6-7,185.0,525093.0
Mason Plumlee,24.0,C,26.0,6-11,235.0,1415520.0
Brian Roberts,2.0,PG,30.0,6-1,173.0,2854940.0
Noah Vonleh,21.0,PF,20.0,6-9,240.0,2637720.0
Trevor Booker,33.0,PF,28.0,6-8,228.0,4775000.0
Trey Burke,3.0,PG,23.0,6-1,191.0,2658240.0
Alec Burks,10.0,SG,24.0,6-6,214.0,9463484.0
Dante Exum,11.0,PG,20.0,6-6,190.0,3777720.0
Derrick Favors,15.0,PF,24.0,6-10,265.0,12000000.0
Rudy Gobert,27.0,C,23.0,7-1,245.0,1175880.0
Gordon Hayward,20.0,SF,26.0,6-8,226.0,15409570.0
Rodney Hood,5.0,SG,23.0,6-8,206.0,1348440.0
Joe Ingles,2.0,SF,28.0,6-8,226.0,2050000.0
Chris Johnson,23.0,SF,26.0,6-6,206.0,981348.0
Trey Lyles,41.0,PF,20.0,6-10,234.0,2239800.0
Shelvin Mack,8.0,PG,26.0,6-3,203.0,2433333.0
Raul Neto,25.0,PG,24.0,6-1,179.0,900000.0
Tibor Pleiss,21.0,C,26.0,7-3,256.0,2900000.0
Jeff Withey,24.0,C,26.0,7-0,231.0,947276.0
